"playerId","player","team","position","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","regTds","pass300","pass350","pass400","returnTds","dataScrapeId","pass40","rush40","sacks","games","rec","recYds","recTds","returnYds","rush100","rush150","rush200","rec40","rec100","rec150","rec200"
2495556,"Lorenzo Booker","PHI","RB",NA,NA,NA,NA,NA,NA,NA,87,296,2,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,45,0,NA,NA,NA,NA,NA,NA,NA,NA
2495557,"Kevin Boss","NYG","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,44,457,4,NA,NA,NA,NA,NA,NA,NA,NA
2495558,"Dwayne Bowe","KC","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,77,1069,7,NA,NA,NA,NA,NA,NA,NA,NA
2495560,"Ahmad Bradshaw","NYG","RB",NA,NA,NA,NA,NA,NA,NA,111,575,3,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,23,167,1,NA,NA,NA,NA,NA,NA,NA,NA
2495562,"Steve Breaston","ARI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,17,250,2,NA,NA,NA,NA,NA,NA,NA,NA
2495612,"Anthony Gonzalez","IND","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,35,515,4,NA,NA,NA,NA,NA,NA,NA,NA
2495630,"Johnnie Lee Higgins","OAK","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,20,285,0,NA,NA,NA,NA,NA,NA,NA,NA
2495647,"Calvin Johnson","DET","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,59,885,7,NA,NA,NA,NA,NA,NA,NA,NA
2495651,"Jacoby Jones","HOU","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,11,165,0,NA,NA,NA,NA,NA,NA,NA,NA
2495660,"Brian Leonard","STL","RB",NA,NA,NA,NA,NA,NA,NA,67,235,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,14,72,0,NA,NA,NA,NA,NA,NA,NA,NA
2495663,"Marshawn Lynch","BUF","RB",NA,NA,NA,NA,NA,NA,NA,319,1341,9,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,41,305,0,NA,NA,NA,NA,NA,NA,NA,NA
2495676,"Robert Meachem","NO","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,35,415,3,NA,NA,NA,NA,NA,NA,NA,NA
2495680,"Martrez Milner","FA","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,25,263,1,NA,NA,NA,NA,NA,NA,NA,NA
2495689,"Legedu Naanee","SD","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,10,140,1,NA,NA,NA,NA,NA,NA,NA,NA
2495700,"Greg Olsen","CHI","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,56,615,2,NA,NA,NA,NA,NA,NA,NA,NA
2495703,"Ben Patrick","ARI","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,19,215,1,NA,NA,NA,NA,NA,NA,NA,NA
2495711,"Antonio Pittman","STL","RB",NA,NA,NA,NA,NA,NA,NA,18,79,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,5,35,0,NA,NA,NA,NA,NA,NA,NA,NA
2495714,"Brady Quinn","CLE","QB",47,27,NA,NA,311,1,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2495718,"Sidney Rice","MIN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,36,511,3,NA,NA,NA,NA,NA,NA,NA,NA
2495721,"Laurent Robinson","ATL","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,30,455,3,NA,NA,NA,NA,NA,NA,NA,NA
2495724,"Dante Rosario","CAR","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,12,111,1,NA,NA,NA,NA,NA,NA,NA,NA
2495727,"Gary Russell","PIT","RB",NA,NA,NA,NA,NA,NA,NA,23,95,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,2,16,0,NA,NA,NA,NA,NA,NA,NA,NA
2495741,"Kolby Smith","KC","RB",NA,NA,NA,NA,NA,NA,NA,69,269,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,9,68,0,NA,NA,NA,NA,NA,NA,NA,NA
2495755,"Courtney Taylor","SEA","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,25,302,3,NA,NA,NA,NA,NA,NA,NA,NA
2495784,"Garrett Wolfe","CHI","RB",NA,NA,NA,NA,NA,NA,NA,46,226,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,10,65,0,NA,NA,NA,NA,NA,NA,NA,NA
2495793,"Joseph Addai","IND","RB",NA,NA,NA,NA,NA,NA,NA,256,1151,11,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,42,342,2,NA,NA,NA,NA,NA,NA,NA,NA
2495801,"Miles Austin","DAL","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,16,205,0,NA,NA,NA,NA,NA,NA,NA,NA
2495802,"Jason Avant","PHI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,11,182,0,NA,NA,NA,NA,NA,NA,NA,NA
2495804,"Hank Baskett","PHI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,18,215,1,NA,NA,NA,NA,NA,NA,NA,NA
2495821,"Marques Colston","NO","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,86,1160,7,NA,NA,NA,NA,NA,NA,NA,NA
2495823,"Brodie Croyle","KC","QB",436,257,NA,NA,2965,15,16,22,85,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2495824,"Jay Cutler","DEN","QB",480,298,NA,NA,3552,23,14,56,185,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
